FilePath,#triples,Property,Aspect,Characteristic,Entity,Constraint,AbstractEntity,AbstractProperty,Collection,Trait,Set,Quantifiable,RangeConstraint,RegularExpressionConstraint,description,exampleValue,see,preferredName,unit,maxValue,minValue,upperBoundDefinition,lowerBoundDefinition,constraint,baseCharacteristic,value
io.catenax.transmission.transmission_pass/3.1.0/TransmissionPass.ttl,159,11,1,2,4,0,0,0,0,2,1,1,0,2,30,7,0,30,3,0,0,0,0,2,2,0
io.catenax.certificate_of_destruction/2.0.0/CertificateOfDestruction.ttl,351,39,1,8,6,0,0,0,0,3,0,1,0,2,59,14,2,60,1,1,0,0,0,3,3,0
io.catenax.demand_and_capacity_notification/1.1.0/DemandAndCapacityNotification.ttl,130,10,1,0,0,0,0,0,0,0,3,0,0,0,16,10,2,16,0,0,0,0,0,0,0,0
io.catenax.just_in_sequence_part/3.1.0/JustInSequencePart.ttl,82,6,1,4,2,0,0,0,0,0,1,0,0,0,14,4,0,14,0,0,0,0,0,0,0,0
io.catenax.single_level_bom_as_planned/3.1.0/SingleLevelBomAsPlanned.ttl,80,6,1,2,2,0,0,0,0,1,1,0,0,1,14,3,0,14,0,0,0,0,0,1,1,0
io.catenax.id_based_comment/1.1.0/IdBasedComment.ttl,116,9,1,4,0,0,0,0,0,1,0,0,0,1,17,8,0,17,0,0,0,0,0,1,1,0
io.catenax.generic.digital_product_passport/2.0.0/DigitalProductPassport.ttl,1521,104,1,26,34,0,0,0,0,5,0,4,0,4,215,62,26,215,0,1,0,0,0,5,5,0
io.catenax.shared.address_characteristic/3.1.0/AddressAspect.ttl,165,10,1,2,5,0,0,0,0,1,0,0,0,1,25,4,0,25,0,0,0,0,0,1,1,0
io.catenax.single_level_bom_as_built/3.1.0/SingleLevelBomAsBuilt.ttl,62,5,1,1,1,0,0,0,0,1,1,0,0,1,11,3,0,11,0,0,0,0,0,1,1,0
io.catenax.classified_load_spectrum/2.2.0/ClassifiedLoadSpectrum.ttl,36,3,1,2,1,0,0,0,0,0,0,0,0,0,7,1,0,6,0,0,0,0,0,0,0,0
io.catenax.certificate_signing_requests/1.1.0/CertificateSigningRequests.ttl,56,4,1,3,1,0,0,0,0,0,1,0,0,0,10,3,1,10,0,0,0,0,0,0,0,0
io.catenax.essincident/4.2.0/EssIncident.ttl,197,18,1,1,1,0,0,0,0,2,1,0,0,1,27,16,1,27,0,0,0,0,0,2,2,0
io.catenax.material_recycling_certificate/1.0.0/MaterialRecyclingCertificate.ttl,12,1,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0
io.catenax.generic.digital_product_passport/4.0.0/DigitalProductPassport.ttl,1485,110,1,23,34,0,0,0,0,5,0,2,2,2,206,59,21,206,1,2,2,2,2,5,5,0
io.catenax.shopfloor_information.provide_production_tracking/1.2.0/ProvideProductionTracking.ttl,8,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
io.catenax.shared.message_header/2.1.0/MessageHeaderAspect.ttl,68,7,1,2,1,0,0,0,0,0,0,0,0,0,11,6,0,11,0,0,0,0,0,0,0,0
io.catenax.iot_sensor_device_definition/2.0.0/IotSensorDeviceDefinition.ttl,55,5,1,3,0,0,0,0,0,0,0,0,0,0,9,5,2,9,0,0,0,0,0,0,0,0
io.catenax.shared.uuid/2.1.0/Uuid.ttl,28,1,1,1,0,0,0,0,0,1,0,0,0,1,5,1,2,5,0,0,0,0,0,1,1,0
io.catenax.waste_certificate/1.2.0/WasteCertificate.ttl,12,1,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0
