FilePath,#triples,Property,Aspect,Characteristic,Entity,Constraint,AbstractEntity,AbstractProperty,Collection,Trait,Set,Quantifiable,RangeConstraint,RegularExpressionConstraint,description,exampleValue,see,preferredName,unit,maxValue,minValue,upperBoundDefinition,lowerBoundDefinition,constraint,baseCharacteristic,value,DIVERSITY
io.catenax.shared.quantity/1.0.0/Quantity.ttl,429,17,1,8,8,0,0,0,0,0,0,1,0,0,43,9,16,43,0,0,0,0,0,0,0,0,9
io.catenax.single_level_bom_as_built/2.0.0/SingleLevelBomAsBuilt.ttl,118,9,1,4,2,0,0,0,0,2,1,1,0,2,20,6,3,17,0,0,0,0,0,2,2,0,14
io.catenax.shared.contact_information/3.0.0/ContactInformation.ttl,76,5,1,2,1,0,0,0,0,2,0,0,0,2,11,4,2,11,0,0,0,0,0,2,2,0,12
io.catenax.material_flow_simulation_result/2.0.0/MaterialFlowSimulationResultAspect.ttl,334,33,1,3,5,0,0,0,0,0,0,1,0,0,55,23,0,55,3,0,0,0,0,0,0,0,9
io.catenax.electric_drive.electric_drive_passport/1.0.0/ElectricDrivePassport.ttl,637,50,1,18,16,0,0,0,0,1,0,0,0,1,101,29,0,101,10,0,0,0,0,1,1,0,12
io.catenax.global_transport_label/1.0.0/GlobalTransportLabel.ttl,481,34,1,22,8,0,0,0,0,5,1,0,0,2,82,21,1,82,0,3,3,0,0,5,5,0,15
io.catenax.shared.physical_dimension/3.0.0/PhysicalDimensions.ttl,75,6,1,1,1,0,0,0,0,0,0,0,0,0,11,5,0,11,2,0,0,0,0,0,0,0,8
io.catenax.shared.bill_of_process/1.1.0/BillOfProcessSharedAspect.ttl,283,23,1,3,7,0,0,0,0,0,0,0,0,0,44,15,0,44,0,0,0,0,0,0,0,0,7
io.catenax.customs_information/1.0.0/CustomsInformation.ttl,352,22,1,14,5,0,0,0,0,4,1,0,0,3,50,17,3,54,0,0,0,0,0,4,4,0,13
io.catenax.single_level_usage_as_built/3.0.0/SingleLevelUsageAsBuilt.ttl,91,8,1,1,1,0,0,0,0,1,1,0,0,1,15,6,0,15,0,0,0,0,0,1,1,0,12
io.catenax.just_in_sequence_part/2.0.0/JustInSequencePart.ttl,178,13,1,7,3,0,0,0,0,1,1,0,0,1,28,10,2,28,0,0,0,0,0,1,1,0,13
io.catenax.shared.business_partner_number/2.0.0/BusinessPartnerNumber.ttl,69,3,1,3,0,0,0,0,0,3,0,0,0,3,13,3,3,13,0,0,0,0,0,3,3,0,11
io.catenax.early_warning_notification/1.0.0/EarlyWarningNotification.ttl,160,14,1,0,2,0,0,0,0,0,0,0,0,0,21,11,0,22,0,0,0,0,0,0,0,0,6
io.catenax.batch/2.0.0/Batch.ttl,177,11,1,8,3,0,0,0,0,3,1,0,0,3,31,8,3,31,0,0,0,0,0,3,3,0,13
io.catenax.single_level_bom_as_built/3.0.0/SingleLevelBomAsBuilt.ttl,78,7,1,1,1,0,0,0,0,1,1,0,0,1,13,5,0,13,0,0,0,0,0,1,1,0,12
io.catenax.mandatory_dismantling/1.0.0/MandatoryDismantling.ttl,76,5,1,2,1,0,0,0,0,2,0,0,0,2,11,4,2,11,0,0,0,0,0,2,2,0,12
io.catenax.secondary_material_content/1.0.0/SecondaryMaterialContent.ttl,399,28,1,15,14,0,0,0,0,2,2,2,1,1,66,12,4,66,1,1,1,1,1,2,2,0,20
