JSON_paths,TTL_paths
io.catenax.shared.quantity/1.0.0/gen/Quantity.json,io.catenax.shared.quantity/1.0.0/Quantity.ttl
io.catenax.single_level_bom_as_built/2.0.0/gen/SingleLevelBomAsBuilt.json,io.catenax.single_level_bom_as_built/2.0.0/SingleLevelBomAsBuilt.ttl
io.catenax.shared.contact_information/3.0.0/gen/ContactInformation.json,io.catenax.shared.contact_information/3.0.0/ContactInformation.ttl
io.catenax.material_flow_simulation_result/2.0.0/gen/MaterialFlowSimulationResultAspect.json,io.catenax.material_flow_simulation_result/2.0.0/MaterialFlowSimulationResultAspect.ttl
io.catenax.electric_drive.electric_drive_passport/1.0.0/gen/ElectricDrivePassport.json,io.catenax.electric_drive.electric_drive_passport/1.0.0/ElectricDrivePassport.ttl
io.catenax.global_transport_label/1.0.0/gen/GlobalTransportLabel.json,io.catenax.global_transport_label/1.0.0/GlobalTransportLabel.ttl
io.catenax.shared.physical_dimension/3.0.0/gen/PhysicalDimensions.json,io.catenax.shared.physical_dimension/3.0.0/PhysicalDimensions.ttl
io.catenax.shared.bill_of_process/1.1.0/gen/BillOfProcessSharedAspect.json,io.catenax.shared.bill_of_process/1.1.0/BillOfProcessSharedAspect.ttl
io.catenax.customs_information/1.0.0/gen/CustomsInformation.json,io.catenax.customs_information/1.0.0/CustomsInformation.ttl
io.catenax.single_level_usage_as_built/3.0.0/gen/SingleLevelUsageAsBuilt.json,io.catenax.single_level_usage_as_built/3.0.0/SingleLevelUsageAsBuilt.ttl
io.catenax.just_in_sequence_part/2.0.0/gen/JustInSequencePart.json,io.catenax.just_in_sequence_part/2.0.0/JustInSequencePart.ttl
io.catenax.shared.business_partner_number/2.0.0/gen/BusinessPartnerNumber.json,io.catenax.shared.business_partner_number/2.0.0/BusinessPartnerNumber.ttl
io.catenax.early_warning_notification/1.0.0/gen/EarlyWarningNotification.json,io.catenax.early_warning_notification/1.0.0/EarlyWarningNotification.ttl
io.catenax.batch/2.0.0/gen/Batch.json,io.catenax.batch/2.0.0/Batch.ttl
io.catenax.single_level_bom_as_built/3.0.0/gen/SingleLevelBomAsBuilt.json,io.catenax.single_level_bom_as_built/3.0.0/SingleLevelBomAsBuilt.ttl
io.catenax.mandatory_dismantling/1.0.0/gen/MandatoryDismantling.json,io.catenax.mandatory_dismantling/1.0.0/MandatoryDismantling.ttl
io.catenax.secondary_material_content/1.0.0/gen/SecondaryMaterialContent.json,io.catenax.secondary_material_content/1.0.0/SecondaryMaterialContent.ttl
io.catenax.shopfloor_information.get_production_forecast/1.0.0/gen/GetProductionForecast.json,io.catenax.shopfloor_information.get_production_forecast/1.0.0/GetProductionForecast.ttl
io.catenax.refurbishing_certificate/3.0.0/gen/RefurbishingCertificate.json,io.catenax.refurbishing_certificate/3.0.0/RefurbishingCertificate.ttl
io.catenax.shared.recycling_strategy_certificate/3.0.0/gen/RecyclingStrategyCertificate.json,io.catenax.shared.recycling_strategy_certificate/3.0.0/RecyclingStrategyCertificate.ttl
io.catenax.time_series_reference/1.0.0/gen/TimeSeriesReference.json,io.catenax.time_series_reference/1.0.0/TimeSeriesReference.ttl
io.catenax.quality_task/2.0.0/gen/QualityTask.json,io.catenax.quality_task/2.0.0/QualityTask.ttl
io.catenax.batch/2.0.1/gen/Batch.json,io.catenax.batch/2.0.1/Batch.ttl
io.catenax.fleet.vehicles/1.0.0/gen/Vehicles.json,io.catenax.fleet.vehicles/1.0.0/Vehicles.ttl
io.catenax.bom_as_specified/1.0.1/gen/BomAsSpecified.json,io.catenax.bom_as_specified/1.0.1/BomAsSpecified.ttl
io.catenax.material_flow_simulation_result/3.0.0/gen/MaterialFlowSimulationResultAspect.json,io.catenax.material_flow_simulation_result/3.0.0/MaterialFlowSimulationResultAspect.ttl
io.catenax.single_level_usage_as_built/2.0.0/gen/SingleLevelUsageAsBuilt.json,io.catenax.single_level_usage_as_built/2.0.0/SingleLevelUsageAsBuilt.ttl
io.catenax.part_as_planned/2.0.0/gen/PartAsPlanned.json,io.catenax.part_as_planned/2.0.0/PartAsPlanned.ttl
io.catenax.certificate_signing_requests/1.0.0/gen/CertificateSigningRequests.json,io.catenax.certificate_signing_requests/1.0.0/CertificateSigningRequests.ttl
io.catenax.shared.bill_of_process/1.0.0/gen/BillOfProcessSharedAspect.json,io.catenax.shared.bill_of_process/1.0.0/BillOfProcessSharedAspect.ttl
io.catenax.return_request/2.0.0/gen/ReturnRequest.json,io.catenax.return_request/2.0.0/ReturnRequest.ttl
io.catenax.transmission.transmission_pass/3.0.0/gen/TransmissionPass.json,io.catenax.transmission.transmission_pass/3.0.0/TransmissionPass.ttl
io.catenax.secondary_material_content_calculated/1.0.0/gen/SecondaryMaterialContentCalculated.json,io.catenax.secondary_material_content_calculated/1.0.0/SecondaryMaterialContentCalculated.ttl
io.catenax.quality_task_attachment/1.0.0/gen/QualityTaskAttachment.json,io.catenax.quality_task_attachment/1.0.0/QualityTaskAttachment.ttl
io.catenax.reuse_certificate/3.0.0/gen/ReuseCertificate.json,io.catenax.reuse_certificate/3.0.0/ReuseCertificate.ttl
io.catenax.item_stock/2.0.0/gen/ItemStock.json,io.catenax.item_stock/2.0.0/ItemStock.ttl
io.catenax.shared.address_characteristic/3.0.0/gen/AddressAspect.json,io.catenax.shared.address_characteristic/3.0.0/AddressAspect.ttl
io.catenax.request_for_quotation/2.0.0/gen/RequestForQuotation.json,io.catenax.request_for_quotation/2.0.0/RequestForQuotation.ttl
io.catenax.shared.secondary_material_content/1.0.0/gen/SecondaryMaterialContent.json,io.catenax.shared.secondary_material_content/1.0.0/SecondaryMaterialContent.ttl
io.catenax.parts_analyses/3.0.0/gen/PartsAnalyses.json,io.catenax.parts_analyses/3.0.0/PartsAnalyses.ttl
io.catenax.shopfloor_information.get_production_tracking/1.0.0/gen/GetProductionTracking.json,io.catenax.shopfloor_information.get_production_tracking/1.0.0/GetProductionTracking.ttl
io.catenax.short_term_material_demand/1.0.0/gen/ShortTermMaterialDemand.json,io.catenax.short_term_material_demand/1.0.0/ShortTermMaterialDemand.ttl
io.catenax.parts_analyses/2.0.0/gen/PartsAnalyses.json,io.catenax.parts_analyses/2.0.0/PartsAnalyses.ttl
